date,unique_id,temperature,replicate,cell_density,cell_volume,time_since_innoc_hours,days
2016-12-06 20:02,16_3,16,3,13070,705.04,950.2761111,39.59483796
2016-12-06 20:03,16_4,16,4,20650,757.47,950.3008333,39.59586806
2016-12-06 20:05,16_5,16,5,16816,798.71,950.3275,39.59697917
2016-12-06 20:06,25_1,25,1,11624,574.19,950.3541667,39.59809028
2016-12-06 20:08,25_2,25,2,13202,501.13,950.3788889,39.59912037
2016-12-06 20:09,25_3,25,3,9132,491.4,950.4033333,39.60013889
2016-12-06 20:15,25_4,25,4,12436,491.96,950.4941667,39.60392361
2016-12-06 20:15,25_4,25,4,12043,503.01,950.4941667,39.60392361
2016-12-09 11:28,5_1,5,1,19159,1250.53,1013.711389,42.23797454
2016-12-09 11:29,5_2,5,2,22228,1205.34,1013.732778,42.23886574
2016-12-09 11:31,5_3,5,3,21117,1182.03,1013.758611,42.23994213
2016-12-09 11:33,5_4,5,4,20960,1303.51,1013.797222,42.24155093
2016-12-09 11:35,5_5,5,5,21039,1206.48,1013.821111,42.2425463
2016-12-09 11:37,8_1,8,1,19828,1122.21,1013.858611,42.2441088
2016-12-09 11:39,8_2,8,2,23805,1100.74,1013.904167,42.24600694
2016-12-09 11:46,8_3,8,3,23876,1124.28,1014.0075,42.2503125
2016-12-09 11:44,8_4,8,4,20228,1139.66,1013.980278,42.24917824
2016-12-09 11:49,8_5,8,5,21597,1050.87,1014.055278,42.25230324
2016-12-09 11:59,16_3,16,3,14428,1337.01,1014.230278,42.25959491
2016-12-09 12:05,16_4,16,4,15774,965,1014.335,42.26395833
2016-12-09 12:03,16_5,16,5,15299,891.03,1014.301667,42.26256944
2016-12-09 12:11,25_1,25,1,14758,556.6,1014.432222,42.26800926
2016-12-09 12:11,25_1,25,1,14404,564.66,1014.432222,42.26800926
2016-12-09 12:08,25_2,25,2,11621,753.98,1014.382778,42.26594907
2016-12-09 12:10,25_3,25,3,11772,554.72,1014.407778,42.26699074
2016-12-09 12:13,25_4,25,4,11665,648.59,1014.457778,42.26907407
2016-12-09 12:14,25_5,25,5,11389,680.85,1014.487222,42.27030093
2016-12-09 12:20,32_4,32,4,4691,930.25,1014.583056,42.27429398
2016-12-09 12:22,32_5,32,5,3137,1040.11,1014.610278,42.27542824
2016-12-01 19:08,5_1,5,1,14737,1197.9,829.3736111,34.5572338
2016-12-01 19:14,5_2,5,2,15755,1202.57,829.4788889,34.56162037
2016-12-01 19:11,5_3,5,3,15376,1264.46,829.4275,34.55947917
2016-12-01 19:12,5_4,5,4,18208,1215.53,829.4516667,34.56048611
2016-12-01 19:16,5_5,5,5,17463,1111.38,829.5161111,34.5631713
2016-12-01 19:27,8_1,8,1,19353,1125.81,829.6891667,34.57038194
2016-12-01 19:24,8_2,8,2,22264,1059.73,829.6469444,34.56862269
2016-12-01 19:22,8_3,8,3,18558,1049.7,829.6155556,34.56731481
2016-12-01 19:20,8_4,8,4,17701,1113.1,829.5747222,34.56561343
2016-12-01 19:18,8_5,8,5,17392,1028.06,829.5502778,34.56459491
2016-12-01 19:28,16_1,16,1,20883,971.05,829.7147222,34.57144676
2016-12-01 19:30,16_2,16,2,16596,1034.98,829.7386111,34.57244213
2016-12-01 19:31,16_3,16,3,18956,1054.16,829.7630556,34.57346065
2016-12-01 19:35,16_4,16,4,20005,1156.72,829.8338889,34.57641204
2016-12-01 19:34,16_5,16,5,18257,1157.49,829.8091667,34.57538194
2016-12-01 19:00,25_1,25,1,12762,914.47,829.2486111,34.55202546
